Frame,Damage_Count
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,2
319,2
320,2
321,2
322,2
323,2
324,2
325,2
326,2
327,2
328,2
329,2
330,2
331,2
332,3
333,3
334,3
335,3
336,3
337,3
338,4
339,4
340,4
341,4
342,4
343,4
344,4
345,4
346,4
347,4
348,4
349,4
350,4
351,4
352,4
353,4
354,5
355,5
356,5
357,5
358,5
359,5
360,5
361,5
362,5
363,5
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,6
381,6
382,6
383,6
384,6
385,6
386,6
387,6
388,6
389,6
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
398,6
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,7
407,7
408,7
409,7
410,8
411,8
412,8
413,8
414,9
415,10
416,10
417,10
418,11
419,11
420,11
421,13
422,14
423,14
424,14
425,14
426,14
427,16
428,16
429,16
430,17
431,17
432,17
433,18
434,20
435,20
436,20
437,22
438,23
439,23
440,24
441,24
442,24
443,24
444,24
445,24
446,24
447,25
448,25
449,25
450,25
451,25
452,27
453,27
454,27
455,28
456,29
457,30
458,30
459,30
460,31
461,34
462,34
463,34
464,34
465,34
466,34
467,34
468,34
469,35
470,36
471,36
472,36
473,37
474,37
475,39
476,40
477,40
478,42
479,42
480,42
481,43
482,43
483,44
484,45
485,45
486,46
487,46
488,46
489,47
490,48
491,49
492,49
493,49
494,49
495,49
496,49
497,49
498,50
499,50
500,50
501,50
502,52
503,52
504,52
505,53
506,53
507,54
508,55
509,55
510,57
511,57
512,57
513,59
514,60
515,60
516,62
517,63
518,64
519,64
520,67
521,67
522,67
523,67
524,67
525,68
526,68
527,68
528,68
529,69
530,69
531,69
532,70
533,71
534,71
535,72
536,72
537,72
538,72
539,73
540,74
541,75
542,76
543,76
544,76
545,76
546,76
547,76
548,76
549,76
550,76
551,76
552,76
553,76
554,76
555,76
556,76
557,76
558,76
559,76
560,76
561,76
562,76
563,76
564,76
565,76
566,76
567,77
568,77
569,77
570,77
571,77
572,77
573,77
574,77
575,77
576,77
577,77
578,77
579,77
580,77
581,77
582,77
583,77
584,77
585,77
586,77
587,78
588,78
589,78
590,78
591,78
592,78
593,78
594,78
595,78
596,78
597,78
598,78
599,78
600,78
601,78
602,79
603,79
604,79
605,79
606,80
607,80
608,80
609,80
610,80
611,80
612,80
613,80
614,80
615,80
616,80
617,80
618,81
619,81
620,81
621,81
622,81
623,81
624,81
625,81
626,81
627,81
628,82
629,83
630,83
631,83
632,83
633,83
634,83
635,83
636,83
637,83
638,83
639,83
640,83
641,83
642,83
643,83
644,83
645,83
646,83
647,83
648,83
649,83
650,83
651,83
652,83
653,83
654,83
655,83
656,83
657,83
658,83
659,83
660,83
661,83
662,83
663,83
664,83
665,83
666,83
667,83
668,84
669,84
670,85
671,85
672,85
673,86
674,86
675,86
676,87
677,87
678,87
679,87
680,88
681,89
682,89
683,90
684,90
685,90
686,90
687,90
688,90
689,90
690,90
691,91
692,92
693,92
694,92
695,92
696,92
697,92
698,92
699,93
700,93
701,93
702,93
703,93
704,93
705,93
706,93
707,93
708,93
709,93
710,93
711,93
712,93
713,93
714,93
715,93
716,93
717,93
718,93
719,93
720,93
721,93
722,93
723,93
724,93
725,93
726,93
727,93
728,93
729,93
730,93
731,93
732,93
733,93
734,93
735,93
736,93
737,93
738,93
739,93
740,93
741,93
742,93
743,93
744,93
745,93
746,93
747,94
748,94
749,94
750,94
751,94
752,94
753,94
754,94
755,94
756,95
757,95
758,95
759,95
760,95
761,95
762,95
763,95
764,95
765,96
766,96
767,96
768,96
769,96
770,97
771,97
772,97
773,97
774,98
775,98
776,98
777,98
778,98
779,98
780,98
781,98
782,98
783,98
784,98
785,98
786,98
787,98
788,98
789,99
790,99
791,99
792,99
793,99
794,99
795,99
796,99
797,99
798,99
799,99
800,99
801,99
802,99
803,99
804,99
805,99
806,99
807,99
808,99
809,99
810,99
811,99
812,99
813,99
814,99
815,99
816,99
817,99
818,99
819,99
820,99
821,99
822,99
823,99
824,99
825,99
826,99
827,99
828,99
829,99
830,99
831,99
832,99
833,99
834,99
835,99
836,99
837,99
838,99
839,99
840,99
841,99
842,99
843,99
844,99
845,99
846,99
847,99
848,99
849,99
850,99
851,99
852,99
853,99
854,99
855,99
856,99
857,99
858,99
859,99
860,99
861,99
862,99
863,99
864,99
865,99
866,99
867,99
868,99
869,99
870,99
871,99
872,99
873,99
874,99
875,99
876,99
877,99
878,99
879,99
880,99
881,99
882,99
883,99
884,99
885,99
886,99
887,99
888,99
889,99
890,99
891,99
892,99
893,99
894,99
895,99
896,99
897,99
898,99
899,99
900,99
901,99
902,99
903,99
904,99
905,99
906,99
907,99
908,99
909,99
910,99
911,99
912,99
913,99
914,99
915,99
916,99
917,99
918,99
919,99
920,99
921,99
922,99
923,99
924,99
925,99
926,99
927,99
928,99
929,99
930,99
931,99
932,99
933,99
934,99
935,99
936,99
937,99
938,99
939,99
940,99
941,99
942,99
943,99
944,99
945,99
946,99
947,99
948,99
949,99
950,99
951,99
952,99
953,99
954,99
955,100
956,100
957,100
958,100
959,100
960,100
961,100
962,100
963,100
964,100
965,100
966,100
967,100
968,100
969,100
970,100
971,100
972,100
973,100
974,100
975,100
976,100
977,100
978,100
979,100
980,100
981,100
982,100
983,100
984,100
985,100
986,100
987,100
988,100
989,100
990,100
991,100
992,100
993,100
994,100
995,100
996,100
997,100
